barkod,miktar,markalar,alerjenler,eser_miktarlar,icerik_sayisi,nutriscore_notu,nova_grubu,yesil_skor_notu,palmiye_yagi_icermez,vejetaryen,vegan_durumu,yag_seviyesi,doymus_yag_seviyesi,seker_seviyesi,tuz_seviyesi,enerji_kj,enerji_kcal,yag_g,doymus_yag_g,karbonhidrat_g,seker_g,lif_g,protein_g,tuz_g,sodyum_g,alkol_yuzde,meyve_sebze_baklagil_yuzde,nutriscore_puan,ns_negatif_puan,ns_pozitif_puan,ns_enerji_puan,ns_seker_puan,ns_doymus_yag_puan,ns_tuz_puan,ns_protein_puan,ns_lif_puan,ns_meyve_sebze_baklagil_puan,urun_bilgisi,birim,kategori_listesi,etiketler_listesi
8436547770137,500.0,Hacendado,['Milk'],[],5,C,1.0,,True,True,no,moderate,high,low,low,308.4,74.0,4.2,2.9,5.1,2.3,,3.9,0.0002,8e-05,,0.0,4,11,7,7.0,2,2.0,0,7.0,0,0,Kéfir Natural Sabor Suave,g,"['Beverages and beverages preparations', 'Beverages', 'Dairies', 'Fermented foods', 'Fermented milk products', 'Desserts', 'Dairy desserts', 'Dairy drinks', 'Fermented dairy desserts', 'Fermented drinks', 'Fermented milk drinks', 'Kefir yogurts', 'Kefir']","['No gluten', 'Green Dot']"
3083680613576,265.0,Cassegrain,"['Celery', 'Gluten', 'Soybeans']","['Gluten', 'Soybeans', 'Cereals-with-gluten']",10,B,4.0,A,True,,maybe,low,low,low,moderate,394.0,93.0,0.5,0.1,14.0,0.0,3.1,6.6,0.76,0.304,,92.5545571245186,-3,5,8,,0,,3,2.0,1,5,LENTILLES PRÉPARÉES,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Legumes and their products', 'Canned foods', 'Legumes', 'Meals', 'Seeds', 'Canned plant-based foods', 'Legume seeds', 'Pulses', 'Lentils', 'Canned legumes', 'Canned seasoned lentils', 'Prepared lentils', 'Vegetables - Prepared/Processed (Shelf Stable)']","['No preservatives', 'Green Dot', 'Nutriscore', 'Nutriscore Grade A', 'fr:Eco-emballages']"
3229820797861,450.0,Bjorg,"['Gluten', 'Nuts']","['Milk', 'Nuts', 'Sesame seeds', 'Soybeans']",11,B,4.0,A,True,True,yes,moderate,moderate,high,low,1847.0,486.0,17.0,2.1,56.0,0.0,9.9,11.0,0.02,0.008,,0.0,1,10,9,5.0,3,2.0,0,4.0,5,0,"Croustillant 3 noix noisette, amande & noix de cajou",g,"['Plant-based foods and beverages', 'Plant-based foods', 'Breakfasts', 'Cereals and potatoes', 'Cereals and their products', 'Breakfast cereals', 'Mueslis', 'Breakfast cereals rich in fibre', 'Cereals with nuts', 'Crunchy cereal clusters', 'Cereal clusters with nuts', 'Mueslis with nuts']","['Organic', 'EU Organic', 'Non-EU Agriculture', 'DE-ÖKO-001', 'EU Agriculture', 'EU/non-EU Agriculture', 'No palm oil', 'Nutriscore', 'Nutriscore Grade B', 'AB Agriculture Biologique']"
6111126001988,450.0,Chergui,['Milk'],[],2,B,1.0,,True,True,no,moderate,low,moderate,low,201.0,48.0,1.8,0.013,5.0,3.4,,3.0,0.13,0.052,,,-1,5,6,3.0,2,0.0,0,6.0,0,0,Leben BELDI,g,"['Beverages and beverages preparations', 'Beverages', 'Dairies', 'Spreads', 'Spreadable fats', 'Milkfat']",[]
3124480186560,33.0,Oasis,['Orange'],[],17,B,4.0,,True,,maybe,low,low,moderate,low,120.0,28.0,0.0,0.0,6.6,6.6,,0.1,0.03,0.012,,,1,1,0,0.0,1,0.0,0,0.0,0,0,oasis,cl,"['Aliments et boissons à base de végétaux', 'Boissons', 'Boissons aux fruits', 'Boissons avec sucre ajouté', 'Boissons plates aux fruits', 'Boissons sans alcool', 'Boissons à base de végétaux']",['Sans conservateurs']
3770016162036,210.0,HappyVore,['Gluten'],"['Gluten', 'Milk', 'Sesame seeds', 'Soybeans']",18,B,4.0,C,True,True,yes,moderate,low,low,moderate,1065.4,252.0,14.0,1.3,20.0,0.8,6.8,9.0,1.18,0.472,,0.0,2,9,7,3.0,0,1.0,5,3.0,4,0,Nuggets Végétaux et Gourmands,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Meat alternatives', 'Meat analogues', 'Breaded products', 'Meat analogues from soy or wheat proteins', 'Vegetarian nuggets']","['Vegetarian', 'No artificial flavors', 'Source of fibre', 'Source of proteins', 'Vegan', '100% vegetable', 'Certified B Corporation', 'High proteins', 'Made in France', 'No artificial colors', 'No artificial colours or flavours', 'No palm oil', 'Nutriscore', 'Nutriscore Grade A', 'fr:A']"
5010029229110,500.0,Weetabix,"['Gluten', 'Soybeans']",[],19,B,4.0,C,True,True,yes,moderate,moderate,high,low,1610.0,385.0,5.0,2.25,70.0,17.0,10.0,10.0,0.16,0.064,,,1,10,9,4.0,4,2.0,0,4.0,5,0,Crispy minis choco,g,"['Plant-based foods and beverages', 'Plant-based foods', 'Breakfasts', 'Cereals and potatoes', 'Cereals and their products', 'Breakfast cereals', 'Chocolate cereals']","['Nutriscore', 'Nutriscore Grade A']"
4056489028109,150.0,Solevita,[],[],5,B,1.0,C,True,True,yes,low,low,moderate,low,108.0,26.0,0.333333333333333,0.0666666666666667,5.26666666666667,5.26666666666667,,0.333333333333333,0.0066666666666666,0.0026666666666666,,,2,6,4,2.0,4,0.0,0,0.0,0,4,SHOT de GINGEMBRE BIO,ml,"['Beverages and beverages preparations', 'Plant-based foods and beverages', 'Beverages', 'Plant-based foods', 'Plant-based beverages', 'Fruit-based beverages', 'Juices and nectars', 'Fruit juices', 'Non-alcoholic beverages']","['Vegetarian', 'Organic', 'EU Organic', 'Non-EU Agriculture', 'Vegan', 'AT-BIO-301', 'EU Agriculture', 'EU/non-EU Agriculture', 'European Vegetarian Union', 'European Vegetarian Union Vegan', 'Nutriscore', 'Nutriscore Grade B', 'Pure juice', 'AB Agriculture Biologique', 'Triman']"
3175681170872,250.0,Céréal Bio,"['Gluten', 'Soybeans']","['Celery', 'Eggs', 'Milk', 'Mustard', 'Nuts', 'Sesame seeds']",13,B,3.0,A,True,True,yes,moderate,low,low,moderate,638.0,153.0,6.4,1.1,13.0,1.6,8.9,6.4,0.72,0.288,,,-3,5,8,,0,,3,2.0,5,1,"Lentilles cuisinées, riz & soja",g,"['Plant-based foods and beverages', 'Plant-based foods', 'Legumes and their products', 'Legumes', 'Meals', 'Seeds', 'Legume seeds', 'Pulses', 'Lentils', 'Microwave meals', 'Plant-based meals', 'Prepared lentils']","['Vegetarian', 'Organic', 'EU Organic', 'No preservatives', 'Non-EU Agriculture', 'Vegan', 'EU Agriculture', 'EU/non-EU Agriculture', 'FR-BIO-01', 'FR-BIO-10', 'Made in France', 'No colorings', 'Nutriscore', 'Nutriscore Grade A', 'AB Agriculture Biologique', 'fr:Sans viande']"
8002470023727,75.0,Carapelli,[],[],1,B,2.0,C,True,True,yes,high,high,low,low,3374.0,821.0,91.0,14.0,0.0,0.0,,0.0,0.0,0.0,,,0,5,5,,0,,0,0.0,0,5,Huile d'olive vierge extra Bio Classico,cl,"['Plant-based foods and beverages', 'Plant-based foods', 'Fats', 'Vegetable fats', 'Olive tree products', 'Vegetable oils', 'Olive oils', 'Extra-virgin olive oils', 'Virgin olive oils']","['Organic', 'EU Organic', 'Non-EU Agriculture', 'EU Agriculture', 'EU/non-EU Agriculture', 'IT-BIO-008', 'AB Agriculture Biologique', 'Triman']"
